ad_id,source,ad_text,impressions,clicks,ctr,emotional_appeal,scarcity,social_proof,relevance
SYN00267,synthetic,Discover something you'll genuinely love.,6509,80,0.01229,0.396,0.193,0.44,0.503
SYN00268,synthetic,Join thousands of happy customers who already switched.,32125,747,0.02325,0.098,0.431,0.639,0.181
SYN00269,synthetic,Exclusive deal: get yours now.,20344,1121,0.0551,0.382,0.611,0.17,0.72
SYN00270,synthetic,Save 30% when you order before midnight.,26254,339,0.01291,0.12,0.187,0.582,0.182
SYN00271,synthetic,Limited release -- only a few left this week.,16926,361,0.02133,0.248,0.591,0.466,0.099
SYN00272,synthetic,Limited release -- only a few left this week.,55158,1123,0.02036,0.445,0.263,0.422,0.221
SYN00273,synthetic,"The award-winning choice, rated five stars.",39420,901,0.02286,0.101,0.442,0.314,0.811
SYN00274,synthetic,Trusted by millions. Try it free.,76886,2030,0.0264,0.194,0.408,0.454,0.311
SYN00275,synthetic,"The award-winning choice, rated five stars.",3639,106,0.02913,0.308,0.23,0.182,0.315
SYN00276,synthetic,Discover something you'll genuinely love.,62877,2232,0.0355,0.503,0.462,0.302,0.51
SYN00277,synthetic,"The award-winning choice, rated five stars.",73049,1420,0.01944,0.379,0.29,0.562,0.383
SYN00278,synthetic,Exclusive deal: get yours now.,40434,600,0.01484,0.163,0.181,0.47,0.63
SYN00279,synthetic,Trusted by millions. Try it free.,56850,1434,0.02522,0.369,0.056,0.503,0.184
SYN00280,synthetic,Don't miss out -- this offer ends tonight.,36934,1439,0.03896,0.455,0.532,0.882,0.685
SYN00281,synthetic,Discover something you'll genuinely love.,48817,2605,0.05336,0.205,0.424,0.291,0.539
SYN00282,synthetic,"Your best results, made easy and fast.",72890,3399,0.04663,0.38,0.44,0.517,0.014
SYN00283,synthetic,"Proven results, guaranteed satisfaction.",43827,2917,0.06656,0.756,0.177,0.22,0.448
SYN00284,synthetic,Don't miss out -- this offer ends tonight.,47514,929,0.01955,0.194,0.347,0.755,0.291
SYN00285,synthetic,An incredible experience designed for you.,78975,3025,0.0383,0.591,0.43,0.34,0.44
SYN00286,synthetic,Upgrade your everyday routine today.,41241,1656,0.04015,0.811,0.274,0.387,0.167
SYN00287,synthetic,"Proven results, guaranteed satisfaction.",16335,571,0.03496,0.211,0.717,0.097,0.616
SYN00288,synthetic,Exclusive deal: get yours now.,55578,1569,0.02823,0.205,0.509,0.444,0.69
SYN00289,synthetic,Trusted by millions. Try it free.,56351,2300,0.04082,0.637,0.371,0.161,0.207
SYN00290,synthetic,Exclusive deal: get yours now.,21260,697,0.03278,0.236,0.457,0.78,0.457
SYN00291,synthetic,"Your best results, made easy and fast.",59111,1653,0.02796,0.167,0.652,0.347,0.426
SYN00292,synthetic,Save 30% when you order before midnight.,7907,103,0.01303,0.203,0.699,0.208,0.254
SYN00293,synthetic,Don't miss out -- this offer ends tonight.,27640,1281,0.04635,0.712,0.662,0.393,0.363
SYN00294,synthetic,Don't miss out -- this offer ends tonight.,68843,1301,0.0189,0.139,0.16,0.272,0.385
SYN00295,synthetic,Limited release -- only a few left this week.,50548,994,0.01966,0.104,0.202,0.031,0.279
SYN00296,synthetic,Join thousands of happy customers who already switched.,49759,1619,0.03254,0.344,0.154,0.383,0.646
SYN00297,synthetic,Save 30% when you order before midnight.,50813,1722,0.03389,0.726,0.508,0.188,0.372
SYN00298,synthetic,"Your best results, made easy and fast.",15695,496,0.0316,0.472,0.627,0.389,0.516
SYN00299,synthetic,Limited release -- only a few left this week.,77021,3450,0.04479,0.449,0.303,0.695,0.435
SYN00300,synthetic,An incredible experience designed for you.,25949,842,0.03245,0.8,0.298,0.647,0.208
SYN00301,synthetic,Limited release -- only a few left this week.,63555,1100,0.01731,0.247,0.289,0.658,0.514
SYN00302,synthetic,Exclusive deal: get yours now.,79224,2630,0.0332,0.473,0.17,0.412,0.339
SYN00303,synthetic,Trusted by millions. Try it free.,21551,567,0.02631,0.195,0.805,0.388,0.707
SYN00304,synthetic,"The award-winning choice, rated five stars.",51850,822,0.01585,0.401,0.339,0.143,0.522
SYN00305,synthetic,"The award-winning choice, rated five stars.",6259,190,0.03036,0.514,0.586,0.481,0.802
SYN00306,synthetic,Trusted by millions. Try it free.,51980,2673,0.05142,0.428,0.799,0.661,0.725
SYN00307,synthetic,Limited release -- only a few left this week.,36958,1056,0.02857,0.445,0.737,0.457,0.246
SYN00308,synthetic,Trusted by millions. Try it free.,8556,96,0.01122,0.217,0.16,0.859,0.242
SYN00309,synthetic,"Your best results, made easy and fast.",54744,886,0.01618,0.175,0.358,0.398,0.104
SYN00310,synthetic,Join thousands of happy customers who already switched.,77612,3116,0.04015,0.184,0.459,0.645,0.238
SYN00311,synthetic,"Proven results, guaranteed satisfaction.",9397,270,0.02873,0.773,0.675,0.288,0.414
SYN00312,synthetic,Don't miss out -- this offer ends tonight.,71744,1663,0.02318,0.278,0.411,0.316,0.392
SYN00313,synthetic,Limited release -- only a few left this week.,67952,1857,0.02733,0.23,0.217,0.27,0.176
SYN00314,synthetic,Don't miss out -- this offer ends tonight.,45179,1686,0.03732,0.585,0.338,0.219,0.407
SYN00315,synthetic,"The award-winning choice, rated five stars.",72406,2973,0.04106,0.273,0.028,0.689,0.47
SYN00316,synthetic,An incredible experience designed for you.,26822,203,0.00757,0.283,0.48,0.129,0.37
SYN00317,synthetic,Discover something you'll genuinely love.,58445,2590,0.04432,0.317,0.556,0.188,0.205
SYN00318,synthetic,Exclusive deal: get yours now.,56750,2726,0.04804,0.416,0.373,0.794,0.619
SYN00319,synthetic,Exclusive deal: get yours now.,47697,4538,0.09514,0.565,0.618,0.632,0.417
SYN00320,synthetic,Upgrade your everyday routine today.,67169,1074,0.01599,0.213,0.232,0.296,0.336
SYN00321,synthetic,"The award-winning choice, rated five stars.",70474,1169,0.01659,0.753,0.566,0.477,0.206
SYN00322,synthetic,Join thousands of happy customers who already switched.,63531,2430,0.03825,0.485,0.324,0.336,0.85
SYN00323,synthetic,Discover something you'll genuinely love.,48305,1312,0.02716,0.278,0.269,0.604,0.488
SYN00324,synthetic,Limited release -- only a few left this week.,78232,2630,0.03362,0.707,0.254,0.246,0.214
SYN00325,synthetic,"Your best results, made easy and fast.",45778,2056,0.04491,0.636,0.543,0.2,0.404
SYN00326,synthetic,Limited release -- only a few left this week.,52037,1622,0.03117,0.582,0.423,0.315,0.455
SYN00327,synthetic,Don't miss out -- this offer ends tonight.,17538,661,0.03769,0.899,0.381,0.688,0.357
SYN00328,synthetic,Discover something you'll genuinely love.,27734,1120,0.04038,0.641,0.521,0.131,0.466
SYN00329,synthetic,Exclusive deal: get yours now.,72661,1745,0.02402,0.465,0.335,0.59,0.186
SYN00330,synthetic,"Proven results, guaranteed satisfaction.",41340,1059,0.02562,0.616,0.38,0.35,0.283
SYN00331,synthetic,Don't miss out -- this offer ends tonight.,42365,2232,0.05268,0.668,0.699,0.253,0.47
SYN00332,synthetic,Discover something you'll genuinely love.,65856,3064,0.04653,0.072,0.184,0.686,0.658
SYN00333,synthetic,Trusted by millions. Try it free.,28107,797,0.02836,0.077,0.219,0.189,0.243
SYN00334,synthetic,Trusted by millions. Try it free.,23431,649,0.0277,0.167,0.693,0.556,0.502
SYN00335,synthetic,Limited release -- only a few left this week.,3683,68,0.01846,0.581,0.596,0.677,0.571
SYN00336,synthetic,"The award-winning choice, rated five stars.",20818,582,0.02796,0.291,0.306,0.453,0.526
SYN00337,synthetic,Exclusive deal: get yours now.,42429,816,0.01923,0.112,0.266,0.87,0.257
SYN00338,synthetic,Save 30% when you order before midnight.,58812,1679,0.02855,0.263,0.261,0.172,0.877
SYN00339,synthetic,Upgrade your everyday routine today.,28343,530,0.0187,0.432,0.612,0.219,0.217
SYN00340,synthetic,"Proven results, guaranteed satisfaction.",37220,1179,0.03168,0.55,0.318,0.512,0.391
SYN00341,synthetic,Exclusive deal: get yours now.,20067,313,0.0156,0.234,0.227,0.648,0.238
SYN00342,synthetic,Don't miss out -- this offer ends tonight.,65875,1395,0.02118,0.478,0.611,0.758,0.355
SYN00343,synthetic,Don't miss out -- this offer ends tonight.,43413,2196,0.05058,0.47,0.159,0.745,0.356
SYN00344,synthetic,"The award-winning choice, rated five stars.",14063,278,0.01977,0.786,0.349,0.522,0.172
SYN00345,synthetic,"The award-winning choice, rated five stars.",49936,1509,0.03022,0.424,0.669,0.676,0.135
SYN00346,synthetic,"Proven results, guaranteed satisfaction.",28848,1364,0.04728,0.958,0.497,0.115,0.28
SYN00347,synthetic,"Proven results, guaranteed satisfaction.",69615,2758,0.03962,0.341,0.887,0.21,0.352
SYN00348,synthetic,Discover something you'll genuinely love.,23643,827,0.03498,0.302,0.357,0.129,0.589
SYN00349,synthetic,Save 30% when you order before midnight.,69584,2154,0.03096,0.557,0.363,0.42,0.25
SYN00350,synthetic,Join thousands of happy customers who already switched.,56735,2330,0.04107,0.695,0.315,0.473,0.326
SYN00351,synthetic,Upgrade your everyday routine today.,13423,489,0.03643,0.165,0.502,0.175,0.335
SYN00352,synthetic,Discover something you'll genuinely love.,61468,1947,0.03168,0.218,0.423,0.518,0.388
SYN00353,synthetic,"Your best results, made easy and fast.",58485,972,0.01662,0.425,0.497,0.346,0.628
SYN00354,synthetic,Trusted by millions. Try it free.,38112,938,0.02461,0.552,0.228,0.385,0.494
SYN00355,synthetic,An incredible experience designed for you.,15374,502,0.03265,0.145,0.535,0.486,0.313
SYN00356,synthetic,"The award-winning choice, rated five stars.",39808,1030,0.02587,0.421,0.566,0.401,0.597
SYN00357,synthetic,Join thousands of happy customers who already switched.,49863,2636,0.05286,0.745,0.425,0.381,0.134
SYN00358,synthetic,"Proven results, guaranteed satisfaction.",13166,295,0.02241,0.437,0.263,0.116,0.293
SYN00359,synthetic,An incredible experience designed for you.,29263,959,0.03277,0.481,0.716,0.155,0.506
SYN00360,synthetic,"Your best results, made easy and fast.",57040,3189,0.05591,0.904,0.599,0.103,0.471
SYN00361,synthetic,Upgrade your everyday routine today.,45571,1163,0.02552,0.52,0.513,0.223,0.263
SYN00362,synthetic,Discover something you'll genuinely love.,79408,2456,0.03093,0.576,0.141,0.624,0.269
SYN00363,synthetic,Don't miss out -- this offer ends tonight.,19688,700,0.03555,0.713,0.439,0.246,0.136
SYN00364,synthetic,"Proven results, guaranteed satisfaction.",62899,1028,0.01634,0.538,0.508,0.318,0.333
SYN00365,synthetic,"Your best results, made easy and fast.",35759,770,0.02153,0.351,0.271,0.474,0.187
SYN00366,synthetic,Discover something you'll genuinely love.,20179,727,0.03603,0.568,0.268,0.376,0.229
SYN00367,synthetic,"The award-winning choice, rated five stars.",76239,2168,0.02844,0.461,0.581,0.271,0.368
SYN00368,synthetic,"The award-winning choice, rated five stars.",50980,3307,0.06487,0.395,0.419,0.469,0.793
SYN00369,synthetic,Upgrade your everyday routine today.,44228,785,0.01775,0.598,0.249,0.452,0.483
SYN00370,synthetic,Limited release -- only a few left this week.,25711,340,0.01322,0.058,0.352,0.578,0.417
SYN00371,synthetic,An incredible experience designed for you.,70871,1896,0.02675,0.436,0.134,0.271,0.083
SYN00372,synthetic,"The award-winning choice, rated five stars.",5323,202,0.03795,0.453,0.42,0.346,0.326
SYN00373,synthetic,"Proven results, guaranteed satisfaction.",11865,445,0.03751,0.42,0.873,0.348,0.825
SYN00374,synthetic,"The award-winning choice, rated five stars.",16846,461,0.02737,0.337,0.441,0.229,0.328
SYN00375,synthetic,Exclusive deal: get yours now.,53281,1886,0.0354,0.332,0.505,0.048,0.554
SYN00376,synthetic,Join thousands of happy customers who already switched.,10899,208,0.01908,0.233,0.379,0.473,0.371
SYN00377,synthetic,Join thousands of happy customers who already switched.,64381,1644,0.02554,0.48,0.208,0.667,0.5
SYN00378,synthetic,Don't miss out -- this offer ends tonight.,18086,540,0.02986,0.335,0.368,0.426,0.546
SYN00379,synthetic,An incredible experience designed for you.,55088,1997,0.03625,0.059,0.357,0.364,0.614
SYN00380,synthetic,Limited release -- only a few left this week.,64261,1073,0.0167,0.628,0.667,0.244,0.043
SYN00381,synthetic,"Your best results, made easy and fast.",70651,1777,0.02515,0.592,0.27,0.653,0.049
SYN00382,synthetic,Join thousands of happy customers who already switched.,25548,564,0.02208,0.448,0.608,0.09,0.319
SYN00383,synthetic,Trusted by millions. Try it free.,8751,352,0.04022,0.291,0.259,0.628,0.691
SYN00384,synthetic,"Your best results, made easy and fast.",61292,2316,0.03779,0.512,0.514,0.657,0.504
SYN00385,synthetic,Don't miss out -- this offer ends tonight.,37550,753,0.02005,0.4,0.153,0.36,0.415
SYN00386,synthetic,Save 30% when you order before midnight.,76062,2647,0.0348,0.198,0.514,0.224,0.267
SYN00387,synthetic,Save 30% when you order before midnight.,17486,336,0.01922,0.298,0.278,0.521,0.347
SYN00388,synthetic,Don't miss out -- this offer ends tonight.,47219,820,0.01737,0.192,0.103,0.526,0.166
SYN00389,synthetic,"The award-winning choice, rated five stars.",12174,241,0.0198,0.339,0.227,0.444,0.906
SYN00390,synthetic,Trusted by millions. Try it free.,40376,629,0.01558,0.248,0.466,0.098,0.26
SYN00391,synthetic,Limited release -- only a few left this week.,3079,126,0.04092,0.696,0.445,0.682,0.173
SYN00392,synthetic,Save 30% when you order before midnight.,60759,1485,0.02444,0.346,0.104,0.32,0.278
SYN00393,synthetic,Limited release -- only a few left this week.,49576,1856,0.03744,0.098,0.484,0.523,0.631
SYN00394,synthetic,Limited release -- only a few left this week.,10475,349,0.03332,0.47,0.354,0.069,0.581
SYN00395,synthetic,Save 30% when you order before midnight.,41459,2692,0.06493,0.534,0.236,0.1,0.683
SYN00396,synthetic,Discover something you'll genuinely love.,35972,664,0.01846,0.617,0.262,0.141,0.251
SYN00397,synthetic,Limited release -- only a few left this week.,54870,892,0.01626,0.207,0.459,0.556,0.551
SYN00398,synthetic,Limited release -- only a few left this week.,41409,854,0.02062,0.43,0.355,0.667,0.364
SYN00399,synthetic,"Proven results, guaranteed satisfaction.",38341,597,0.01557,0.113,0.241,0.094,0.475
SYN00400,synthetic,"Your best results, made easy and fast.",66990,831,0.0124,0.071,0.3,0.439,0.129
SYN00401,synthetic,Trusted by millions. Try it free.,42968,1550,0.03607,0.481,0.238,0.7,0.523
SYN00402,synthetic,Trusted by millions. Try it free.,65694,3090,0.04704,0.327,0.287,0.057,0.846
SYN00403,synthetic,Limited release -- only a few left this week.,71171,4252,0.05974,0.78,0.125,0.678,0.247
SYN00404,synthetic,Don't miss out -- this offer ends tonight.,68316,1465,0.02144,0.24,0.099,0.26,0.135
SYN00405,synthetic,"Proven results, guaranteed satisfaction.",76577,7522,0.09823,0.426,0.246,0.726,0.912
SYN00406,synthetic,Discover something you'll genuinely love.,56736,1595,0.02811,0.491,0.54,0.303,0.556
SYN00407,synthetic,"Proven results, guaranteed satisfaction.",46255,713,0.01541,0.234,0.38,0.429,0.529
SYN00408,synthetic,Exclusive deal: get yours now.,43852,2318,0.05286,0.432,0.479,0.33,0.733
SYN00409,synthetic,"Your best results, made easy and fast.",18746,283,0.0151,0.284,0.367,0.214,0.661
SYN00410,synthetic,Limited release -- only a few left this week.,66746,1279,0.01916,0.56,0.452,0.215,0.271
SYN00411,synthetic,Don't miss out -- this offer ends tonight.,56382,1461,0.02591,0.389,0.244,0.328,0.157
SYN00412,synthetic,"Proven results, guaranteed satisfaction.",70242,1969,0.02803,0.231,0.244,0.467,0.655
SYN00413,synthetic,"Your best results, made easy and fast.",57014,1336,0.02343,0.292,0.367,0.638,0.228
SYN00414,synthetic,An incredible experience designed for you.,39997,613,0.01533,0.244,0.665,0.311,0.204
SYN00415,synthetic,"Your best results, made easy and fast.",25733,863,0.03354,0.231,0.197,0.66,0.737
SYN00416,synthetic,Discover something you'll genuinely love.,78895,3145,0.03986,0.385,0.273,0.725,0.203
SYN00417,synthetic,Exclusive deal: get yours now.,59488,1610,0.02706,0.349,0.289,0.462,0.342
SYN00418,synthetic,Limited release -- only a few left this week.,70360,1855,0.02636,0.231,0.806,0.395,0.727
SYN00419,synthetic,Discover something you'll genuinely love.,48045,735,0.0153,0.501,0.404,0.511,0.091
SYN00420,synthetic,Limited release -- only a few left this week.,42306,993,0.02347,0.378,0.383,0.155,0.776
SYN00421,synthetic,Don't miss out -- this offer ends tonight.,5641,117,0.02074,0.303,0.285,0.177,0.091
SYN00422,synthetic,Exclusive deal: get yours now.,8335,204,0.02448,0.306,0.015,0.317,0.287
SYN00423,synthetic,Exclusive deal: get yours now.,57420,872,0.01519,0.24,0.588,0.272,0.139
SYN00424,synthetic,Join thousands of happy customers who already switched.,20285,279,0.01375,0.699,0.143,0.504,0.347
SYN00425,synthetic,Trusted by millions. Try it free.,9314,370,0.03973,0.741,0.343,0.356,0.398
SYN00426,synthetic,"Proven results, guaranteed satisfaction.",62782,1357,0.02161,0.64,0.143,0.792,0.164
SYN00427,synthetic,"Proven results, guaranteed satisfaction.",50780,2030,0.03998,0.781,0.589,0.146,0.383
SYN00428,synthetic,"Your best results, made easy and fast.",11558,206,0.01782,0.346,0.506,0.417,0.181
SYN00429,synthetic,Join thousands of happy customers who already switched.,41489,737,0.01776,0.512,0.103,0.304,0.412
SYN00430,synthetic,Discover something you'll genuinely love.,39174,868,0.02216,0.057,0.217,0.638,0.197
SYN00431,synthetic,An incredible experience designed for you.,3285,236,0.07184,0.487,0.402,0.797,0.427
SYN00432,synthetic,Don't miss out -- this offer ends tonight.,49573,1245,0.02511,0.396,0.031,0.197,0.146
SYN00433,synthetic,"The award-winning choice, rated five stars.",33544,604,0.01801,0.085,0.046,0.083,0.382
SYN00434,synthetic,Join thousands of happy customers who already switched.,70632,1737,0.02459,0.334,0.302,0.308,0.181
SYN00435,synthetic,Don't miss out -- this offer ends tonight.,11910,204,0.01713,0.808,0.538,0.425,0.278
SYN00436,synthetic,Discover something you'll genuinely love.,68227,1021,0.01496,0.21,0.317,0.199,0.454
SYN00437,synthetic,Discover something you'll genuinely love.,3494,33,0.00944,0.636,0.613,0.302,0.178
SYN00438,synthetic,Exclusive deal: get yours now.,61849,2226,0.03599,0.213,0.388,0.306,0.05
SYN00439,synthetic,Upgrade your everyday routine today.,63259,3183,0.05032,0.705,0.314,0.636,0.042
SYN00440,synthetic,Join thousands of happy customers who already switched.,34392,1058,0.03076,0.398,0.576,0.134,0.415
SYN00441,synthetic,Exclusive deal: get yours now.,24602,688,0.02797,0.257,0.17,0.234,0.584
SYN00442,synthetic,Exclusive deal: get yours now.,13953,353,0.0253,0.796,0.512,0.366,0.681
SYN00443,synthetic,Save 30% when you order before midnight.,29175,804,0.02756,0.212,0.593,0.436,0.602
SYN00444,synthetic,Exclusive deal: get yours now.,54562,3043,0.05577,0.407,0.309,0.633,0.26
SYN00445,synthetic,Join thousands of happy customers who already switched.,58815,2446,0.04159,0.607,0.09,0.347,0.888
SYN00446,synthetic,Upgrade your everyday routine today.,16959,336,0.01981,0.118,0.024,0.302,0.685
SYN00447,synthetic,Save 30% when you order before midnight.,3857,37,0.00959,0.068,0.236,0.133,0.682
SYN00448,synthetic,"Your best results, made easy and fast.",46221,1898,0.04106,0.429,0.283,0.396,0.224
SYN00449,synthetic,Upgrade your everyday routine today.,47720,1308,0.02741,0.345,0.353,0.28,0.553
SYN00450,synthetic,Join thousands of happy customers who already switched.,78512,928,0.01182,0.251,0.364,0.197,0.42
SYN00451,synthetic,An incredible experience designed for you.,61622,1142,0.01853,0.665,0.278,0.266,0.232
SYN00452,synthetic,Don't miss out -- this offer ends tonight.,45373,986,0.02173,0.746,0.216,0.207,0.752
SYN00453,synthetic,Don't miss out -- this offer ends tonight.,48571,868,0.01787,0.456,0.157,0.202,0.157
SYN00454,synthetic,Exclusive deal: get yours now.,52707,1275,0.02419,0.585,0.119,0.247,0.169
SYN00455,synthetic,Join thousands of happy customers who already switched.,37783,925,0.02448,0.426,0.434,0.291,0.47
SYN00456,synthetic,"Proven results, guaranteed satisfaction.",55173,1979,0.03587,0.538,0.583,0.239,0.259
SYN00457,synthetic,"The award-winning choice, rated five stars.",18049,443,0.02454,0.339,0.175,0.574,0.239
SYN00458,synthetic,Exclusive deal: get yours now.,66939,2786,0.04162,0.44,0.526,0.391,0.256
SYN00459,synthetic,An incredible experience designed for you.,69349,1473,0.02124,0.219,0.276,0.143,0.57
SYN00460,synthetic,Join thousands of happy customers who already switched.,36493,4031,0.11046,0.42,0.54,0.19,0.804
SYN00461,synthetic,Join thousands of happy customers who already switched.,38163,730,0.01913,0.133,0.585,0.199,0.455
SYN00462,synthetic,"Your best results, made easy and fast.",41308,1082,0.02619,0.336,0.398,0.96,0.447
SYN00463,synthetic,"Your best results, made easy and fast.",65937,907,0.01376,0.162,0.142,0.306,0.404
SYN00464,synthetic,Join thousands of happy customers who already switched.,16549,347,0.02097,0.257,0.131,0.389,0.39
SYN00465,synthetic,Save 30% when you order before midnight.,29297,464,0.01584,0.535,0.351,0.07,0.581
SYN00466,synthetic,"Proven results, guaranteed satisfaction.",50330,1198,0.0238,0.468,0.177,0.29,0.101
SYN00467,synthetic,An incredible experience designed for you.,56392,928,0.01646,0.475,0.588,0.72,0.318
SYN00468,synthetic,Join thousands of happy customers who already switched.,25773,449,0.01742,0.035,0.269,0.241,0.165
SYN00469,synthetic,Trusted by millions. Try it free.,12022,186,0.01547,0.054,0.438,0.66,0.361
SYN00470,synthetic,Limited release -- only a few left this week.,42087,945,0.02245,0.366,0.438,0.215,0.45
SYN00471,synthetic,Discover something you'll genuinely love.,52168,1939,0.03717,0.346,0.71,0.378,0.412
SYN00472,synthetic,Upgrade your everyday routine today.,62024,5846,0.09425,0.644,0.251,0.449,0.754
SYN00473,synthetic,Don't miss out -- this offer ends tonight.,3228,55,0.01704,0.227,0.384,0.256,0.595
SYN00474,synthetic,Join thousands of happy customers who already switched.,4352,70,0.01608,0.115,0.437,0.364,0.053
SYN00475,synthetic,Join thousands of happy customers who already switched.,32760,777,0.02372,0.559,0.3,0.586,0.463
SYN00476,synthetic,Join thousands of happy customers who already switched.,46421,1182,0.02546,0.351,0.302,0.658,0.676
SYN00477,synthetic,Join thousands of happy customers who already switched.,3274,109,0.03329,0.944,0.214,0.711,0.524
SYN00478,synthetic,Upgrade your everyday routine today.,16355,950,0.05809,0.786,0.479,0.322,0.705
SYN00479,synthetic,"Your best results, made easy and fast.",35255,920,0.0261,0.405,0.47,0.544,0.495
SYN00480,synthetic,"Proven results, guaranteed satisfaction.",24512,1782,0.0727,0.294,0.464,0.253,0.646
SYN00481,synthetic,Save 30% when you order before midnight.,57711,2929,0.05075,0.576,0.763,0.742,0.457
SYN00482,synthetic,An incredible experience designed for you.,5672,109,0.01922,0.388,0.458,0.221,0.431
SYN00483,synthetic,"Your best results, made easy and fast.",71402,1618,0.02266,0.268,0.183,0.526,0.478
SYN00484,synthetic,Save 30% when you order before midnight.,16048,353,0.022,0.797,0.336,0.293,0.273
SYN00485,synthetic,Upgrade your everyday routine today.,36929,900,0.02437,0.15,0.133,0.245,0.215
SYN00486,synthetic,An incredible experience designed for you.,78970,1164,0.01474,0.653,0.26,0.148,0.437
SYN00487,synthetic,Upgrade your everyday routine today.,54025,1119,0.02071,0.42,0.732,0.583,0.279
SYN00488,synthetic,Discover something you'll genuinely love.,79886,1667,0.02087,0.231,0.486,0.151,0.626
SYN00489,synthetic,Upgrade your everyday routine today.,4514,219,0.04852,0.296,0.228,0.588,0.76
SYN00490,synthetic,An incredible experience designed for you.,58428,2962,0.05069,0.485,0.777,0.591,0.184
SYN00491,synthetic,Exclusive deal: get yours now.,8828,340,0.03851,0.571,0.134,0.434,0.069
SYN00492,synthetic,Save 30% when you order before midnight.,50112,1896,0.03784,0.545,0.369,0.754,0.171
SYN00493,synthetic,Save 30% when you order before midnight.,28098,823,0.02929,0.356,0.626,0.639,0.316
SYN00494,synthetic,"Your best results, made easy and fast.",62829,2534,0.04033,0.314,0.601,0.091,0.702
SYN00495,synthetic,"Your best results, made easy and fast.",12575,270,0.02147,0.452,0.171,0.439,0.644
SYN00496,synthetic,"The award-winning choice, rated five stars.",72034,698,0.00969,0.111,0.206,0.599,0.156
SYN00497,synthetic,"The award-winning choice, rated five stars.",40018,1399,0.03496,0.492,0.268,0.313,0.531
SYN00498,synthetic,Join thousands of happy customers who already switched.,42986,614,0.01428,0.16,0.293,0.356,0.296
SYN00499,synthetic,Save 30% when you order before midnight.,46975,1228,0.02614,0.234,0.512,0.468,0.316
SYN00500,synthetic,Don't miss out -- this offer ends tonight.,5716,200,0.03499,0.744,0.218,0.359,0.287
SYN00501,synthetic,Trusted by millions. Try it free.,26901,686,0.0255,0.279,0.303,0.269,0.406
SYN00502,synthetic,An incredible experience designed for you.,57623,2115,0.0367,0.36,0.24,0.149,0.484
SYN00503,synthetic,"Your best results, made easy and fast.",76983,3247,0.04218,0.213,0.445,0.784,0.385
SYN00504,synthetic,An incredible experience designed for you.,78814,1952,0.02477,0.248,0.306,0.343,0.316
SYN00505,synthetic,Don't miss out -- this offer ends tonight.,44249,1582,0.03575,0.591,0.307,0.484,0.848
SYN00506,synthetic,"The award-winning choice, rated five stars.",22870,823,0.03599,0.367,0.682,0.277,0.712
SYN00507,synthetic,"The award-winning choice, rated five stars.",39773,924,0.02323,0.229,0.099,0.559,0.64
SYN00508,synthetic,"Your best results, made easy and fast.",38686,1120,0.02895,0.51,0.188,0.367,0.641
SYN00509,synthetic,Save 30% when you order before midnight.,33587,3128,0.09313,0.625,0.423,0.634,0.379
SYN00510,synthetic,An incredible experience designed for you.,30818,739,0.02398,0.161,0.199,0.446,0.293
SYN00511,synthetic,Join thousands of happy customers who already switched.,69861,2289,0.03277,0.347,0.307,0.076,0.719
SYN00512,synthetic,Upgrade your everyday routine today.,33065,939,0.0284,0.76,0.473,0.214,0.589
SYN00513,synthetic,Discover something you'll genuinely love.,5252,186,0.03542,0.381,0.53,0.42,0.082
SYN00514,synthetic,Upgrade your everyday routine today.,58547,1518,0.02593,0.115,0.336,0.353,0.198
SYN00515,synthetic,Join thousands of happy customers who already switched.,54210,2516,0.04641,0.221,0.463,0.599,0.711
SYN00516,synthetic,"The award-winning choice, rated five stars.",32137,1051,0.0327,0.533,0.244,0.594,0.312
SYN00517,synthetic,Upgrade your everyday routine today.,51509,2093,0.04063,0.066,0.345,0.442,0.643
SYN00518,synthetic,Join thousands of happy customers who already switched.,75463,3884,0.05147,0.776,0.428,0.294,0.367
SYN00519,synthetic,"Your best results, made easy and fast.",74180,2623,0.03536,0.654,0.471,0.124,0.584
SYN00520,synthetic,"The award-winning choice, rated five stars.",63803,1518,0.02379,0.572,0.414,0.214,0.266
SYN00521,synthetic,"Proven results, guaranteed satisfaction.",47917,1608,0.03356,0.246,0.07,0.274,0.511
SYN00522,synthetic,Limited release -- only a few left this week.,5128,86,0.01677,0.395,0.455,0.34,0.107
SYN00523,synthetic,Trusted by millions. Try it free.,42440,1231,0.02901,0.496,0.779,0.369,0.598
SYN00524,synthetic,Don't miss out -- this offer ends tonight.,66028,1820,0.02756,0.288,0.518,0.194,0.549
SYN00525,synthetic,Don't miss out -- this offer ends tonight.,68056,1308,0.01922,0.729,0.161,0.399,0.657
SYN00526,synthetic,Trusted by millions. Try it free.,62510,1870,0.02992,0.333,0.672,0.124,0.194
SYN00527,synthetic,Upgrade your everyday routine today.,78960,1648,0.02087,0.462,0.474,0.183,0.522
SYN00528,synthetic,An incredible experience designed for you.,42770,971,0.0227,0.348,0.604,0.352,0.355
SYN00529,synthetic,Save 30% when you order before midnight.,11447,197,0.01721,0.239,0.25,0.223,0.226
SYN00530,synthetic,Don't miss out -- this offer ends tonight.,41254,1348,0.03268,0.654,0.699,0.132,0.48
SYN00531,synthetic,Save 30% when you order before midnight.,27540,745,0.02705,0.462,0.407,0.723,0.213
